Character,dialogue,narrative_type
Elena,We're taking our vacation and resting up from our work.,narration
Reno,Now our vacation is ruined.,narration
Elena,"B, but...",narration
Rude,...even the booze tastes bad now.,narration
Elena,...sorry...,narration
Elena,"Hmm, you're lucky all right. Now get out of my sight! The next time we meet I won't be so nice.",narration
Rude,To the Turks... To Reno...cheers!,narration
Reno,"Drink, Rude! How long have we been a team...? There have been hard times being a Turk, but all in all, I'm glad I did it. I even got to meet a bunch of wing nuts like you.",action
NPC,You know I've noticed that there's a pounding noise from time to time in this store.,narration
NPC,"Anyhow, for some reason Yuffie's had a fondness for materia ever since I can remember. She's always hung around places she thought might have it.",narration
On-screen,"Received ""MP Absorb"" Materia!",system
On-screen,"Stole ""MP Absorb"" Materia!",system
NPC,Huh? What? You DID?,dialogue
NPC,Yuffie? I saw her a while ago. She must be in one of the houses around here.,action
NPC,"Yuffie's like that, you know. Sometimes she'll just bust into people's houses. Then she hides in the shadows... Just like a little kid.",narration
Godo,"GOOGAH...what do you want? Don't have...GAH...anything much but, you should be able to...GOO...rest yourselves here. GOGAH...make yourselves at home.",action
Godo,"......Yuffie? ......nope, never heard of her. ...GOOGO...",action
Godo,"...you again? I told you once, and I'm telling you again, I don't know her.",dialogue
Godo,"Listen, I said I didn't know her! There isn't anyone named Yuffie here in Wutai!",narration
Godo,...never seen you around here before... Lately I've been seeing a lot of Shinra soldiers around here... You wouldn't have anything to do with that would you?,narration
Godo,"I don't care about who you are. But if you're in trouble with the Shinra, I'm going to have to ask you to leave. I don't want the Shinra hanging around here looking over my shoulder.",action
Yuffie,"What's with you, you coward!",dialogue
Godo,Yuffie......!,narration
Yuffie,"You scared of the Shinra? Then why don't you fall into line and obey them, just like all of the other towns! Those guys are the ones who are really fighting the Shinra!",dialogue
Godo,Shut up! What would you know about this?,dialogue
Yuffie,"You get beaten once, and then that's it? What happened to the mighty Wutai I used to know?",dialogue
Godo,No kid like you's going to talk to me like that! You keep acting like that! You ought to be ashamed of yourself!,action
Yuffie,"That's my style! And it's my own business, not yours! Don't you try and dictate what I should do!",dialogue
Godo,Style...? Dictate...? Throwin' around all those fancy words... You're a miserable daughter!,narration
Yuffie,Hmph! You're a sad excuse for a father!!,narration
Godo,"......take your things and get out of here now. To protect Wutai, we cannot afford to stand up to Shinra.",narration
NPC 1,Oh no! More weirdos,narration
NPC 2,"No, these aren't like the one from a while ago, but these ones look weird too!",action
NPC,"What are we going to do, Gramps? Some strange-looking girl came in here a minute ago and I...",action
Yuffie,.......,narration
NPC,"That reminds me, Lately I've been seeing a kid around here that reminds me of Yuffie. Always sneakin' around corners And into somethin' she shouldn't be.",narration
NPC,It's been really loud and busy outside. Someone outside must be up to something bad...,narration
Cloud,"You can't get away, Yuffie.",narration
Tifa,"Give it up, Yuffie!",narration
Cid,"You lost, Yuffie.",narration
Yuffie,"O...ok, I know... I was wrong...... You win. I'll give you back your materia...",narration
 Shinra soldier,So our reports were right! He IS here on vacation! We've finally found him! Get the Turks here for back-up!,narration
Reno,...what a drag.,dialogue
Shinra soldier,"Ww, what was that...?",dialogue
Reno,Right now we're off duty and can't run off to save your butts.,action
Shinra soldier,"We know you're off duty, but...",narration
Reno,"If you knew that, then don't bother us! Lookin' at you is makin' me sober.",narration
Shinra soldier,But you all have orders from headquarters to look for him too!,narration
Shinra soldier,"All right, that's it! We'll get him without any help from the Turks, just you see! And don't think that headquarters isn't going to hear about this!!",action
Elena,"Reno, do you think that was really such a good idea!? I mean is that the way a professional, a Turk would act!?",action
Reno,Elena. Don't misunderstand. A pro isn't someone who sacrifices himself for his job. That's just a fool.,narration
Elena,Rude...?,narration
Rude,.........,narration
Elena,"Well, I don't buy that! Goodbye!!",action
Rude,.........,narration
Reno,Relax. She's not a child. Let her have her way now...,narration
 Yuffie,"I know, the materia, right? I have it stored in a safe place. ...Follow me.",action
Yuffie,"...I've been hearing that ever since I was little. Before I was born, Wutai was a lot more crowded and more important...",narration
Yuffie,"You saw what it looks like now, right? ...JUST a resort town... After we lost the war, we got peace, but with that, we lost something else. Now look at Wutai...",action
Yuffie,That's why... if I had lots of materia I could...,dialogue
Cloud,"Listen, Yuffie. I don't care about the history of Wutai or your feelings. You've got our materia and I want it back ...now. If you give it back now, we'll drop the whole thing.",action
Tifa,"I'm sorry, Yuffie. I know how you feel, but we need materia too. ...We just can't let you have it. Please understand.",narration
Cid,"......Dammit, Yuffie. We ain't got time to be listening to your life story. If you want materia, get it yourself. That's how you should do it.",action
Yuffie,I know. I know that...,narration
Yuffie,"That...sniff...switch... the lever on the left...... materia's...sniff, hic...in there.",narration
Barret,Ain't nuthin' we can do about it...,narration
Tifa,"Now, the Materia...",narration
Aeris,"I feel bad, but......",narration
RedXIII,Were we a little too harsh on her?,narration
CaitSith,"Well, let's get our materia back.",narration
Vincent,There was nothing else to do.,narration
Cid,Hmmph... I dunno......,narration
Barret,Wh...what the hell is this!?,dialogue
Tifa,Eyaaaaah,narration
Aeris,Eyaaaaah,narration
RedXIII,"Wh, what are you doing!?",dialogue
CaitSith,"Wh, what is this!?",dialogue
Cid,Whoa!?,narration
Yuffie,Ha ha ha------! Never trust anyone that easily!!,narration
Yuffie,Ha ha------! You should've listened!!,narration
Yuffie,The Materia's mine! Tough!,narration
Yuffie,"You want your materia? Then go find it yourself! Yeah that's right. And when you're looking for the materia, remember you gotta steel it. Heh heh... steel...steel! Get it?",action
Yuffie,C ya!!,narration
Barret,"Y, yo, wait up!!",action
Tifa,W...wait don't leave us here!,action
Aeris,"Wait, don't leave us!",action
RedXIII,Help us first!,narration
CaitSith,Hey help us...please!,narration
Vincent,"Wait, don't go by yourself!",action
Cid,Hey! Help me first!,narration
Rude,.........,narration
Reno,....... It's just that we're off duty! I don't feel like drinking with you. And don't talk to me,narration
Yuffie,Let go! I SAID let GO! Hey! Who do you think I...... OW! What're you doin'...? Jerk!,action
Cloud,You.......!,narration
Tifa,Oh! You're......!,narration
Cid,"Ww, who are you!?",narration
Corneo,".......ho...... ...............ho......... Hohi, hohi! Hohihi!",narration
Cloud,Corneo!?,narration
Tifa,Don Corneo!?,narration
Cid,The hell are you doing!,narration
Corneo,"Hohi! I've finally got a new chicky! Two for one, in fact! Hohi, hohi!",action
Party leader,Two!?,narration
Elena,H......hey! Let go of me! You're gonna regret this!!,action
Corneo,"Hohi, hohi! Hohihi!",narration
Shinra soldier,There he is! It's Corneo! Don't let him get away!,narration
Shinra soldier,Attaaaack!,narration
Rude,.......Elena.,narration
Reno,Hmm... that Corneo is good at escaping...,action
Rude,.......Elena.,narration
Reno,"Let's go, Rude. We'll give them a taste of what the Turks can do.",action
Reno,......Sounded pretty good.,action
Reno,"If Elena is in his hands, that's going to make things a little difficult. And uh...",action
Cloud,"......Ok. Corneo took Yuffie from us. And without Yuffie, there's no way we'll get our materia back.",narration
Tifa,"......all right. Corneo stole Yuffie from us, as well. And without her, there's no way we'll get our materia back.",narration
Cid,"......that's just beautiful! And now that *#$^@'s walked off with Yuffie, too! And without that brat, we can't get our hands on our materia!",narration
Reno,"Don't misunderstand. We have no intention of joining you. But for now, we'll agree not to bother each other. That's all.",narration
Cloud,"That's fine. We have absolutely no intention of cooperating with the Turks either. Now, uh, just what direction did Corneo run off to?",action
Tifa,The same goes for us. We don't want to be friendly with the Turks. Now which direction did Corneo run off in?,action
Cid,"Of course! There ain't no way we'd wanna join up with the Turks anyway! Anyhow, which direction did that %^$*& run off in?",action
Reno,"Hmm, nice attitude. Here's a clue, it's the place that stands out the most.",narration
NPC,Two girls just went off towards Da-chao. I wonder if that place is starting to become popular with the kids? One had herself all tangled up in a rope. And the other one kind of looked like Yuffie.,narration
NPC,"Alright, alright, alright! I saw an old man in flashy clothes running towards Da-chao! He was babblin' somethin' and looked like he could float! It almost bowled me over!",action
Reno,"You're finally here. We're gonna split into two. You do whatever you want. But don't endanger Elena. Don't worry. We won't do anything to that girl, Yuffie. For now...",action
Reno,"You all thought they might be here too, huh? We were way off. There's no way they could get that far.",narration
Rude,......,narration
Reno,"Don't fool around. You know the enemy's not gonna wait for us, right?",action
Yuffie,LET...ME......GO!!!!,action
Corneo,Hmm! Delicious...scrumptious! I think I've just found a new HOBBY!,narration
Corneo,Which shall it be? Hmm...Hmm...,narration
Corneo,Should I go...with HER?,action
Elena,"He...hey, I'm one of the 'Turks'! Don't think you can get away with this!?",narration
Corneo,Or...maybe...HER?,narration
Yuffie,"Oh GAWD! If I knew this was gonna happen, I would've taken rope escape lessons more seriously!!",action
Corneo,Hmm!!! I've made my choice! My companion for the night will be......,narration
Corneo,...the cheerful one!,narration
Yuffie,GROSS-NESS! Don't mess with me old man! You don't even have any Materia!,narration
Corneo,"Oooooh! And she's saucy, too! Wheee! Wheee!",narration
Cloud,"All right, that's it!!",narration
Corneo,Hee-haw. What...what's goin' on!? Who's there?,action
Yuffie,Oh man! Cloud......!,narration
Corneo,Wheeel...long time no see.,narration
Tifa,Hold it right there!,narration
Corneo,Hee-haw. What...what's goin' on!? Who's there?,action
Yuffie,Oh man! Tifa......!,narration
Corneo,Wheeel...long time no see.,narration
Cid,"Hey, hey, hey! That's as far as you go!",action
Corneo,Hee-haw. What...what's goin' on!? Who's there?,action
Yuffie,"Oh man! That old fart, Cid......!",narration
Corneo,Hmm...Who are you guys!?,narration
Cloud,Don't tell me you forgot...,action
Tifa,That fall into the trap really hurt!,narration
Aeris,"You just don't get it, do you...!?",narration
Cid,"Maybe God'd forgive an ugly ^#@# like you, but I won't!",action
Barret,You damn Midgar hyena...!,narration
RedXIII,Hurry and let the two go!,action
Vincent,"I don't care what you're doing, so much as the idiotic way you're doing it...",dialogue
CaitSith,"Listen you stupid, slimy, sleazy old scab bag! If you want to get women, there's such a thing as the RIGHT way!",narration
Corneo,"Be quiet! None of you know how much I've suffered since then... It's a long story, but......",narration
Tifa,We don't want to hear it! Just let the two go!,action
Cid,"I don't really give a damn! You're gonna let the two girls go, or else I'm gonna break your arm!",action
Cloud,I don't really care! Let Yuffie and Elena go!,action
Corneo,"Hmm...You guys are...serious. ......Good, good. ...this ain't no time for me to be fooling around either...",action
Corneo,"Why did you kill my little Aps? I'm gonna make you PLAY with my new pet, so you won't get in the way of my search for a bride!",action
Corneo,RAPPS---come here!!,narration
Corneo,Wait... Just wait a second!,action
Cloud,SHUT UP!,narration
Tifa,You better say your prayers!,dialogue
Cid,"Don't be such a poor loser, old man!",narration
Corneo,Just listen to me - it won't take long. Why do you think a bad guy like me would swallow his pride and plead for his life?,dialogue
Corneo,Hmm...! WRONG...!,narration
Corneo,Hmm...! RIGHT!,narration
Corneo,"Hmm...! Close, but no cigar...!",narration
Elena,Eyaaaah...!,narration
Yuffie,Makes me so MAD...!,narration
Corneo,"If I push this button, they'll fall upside down, and we'll have a SQUASHED TOMATOES!",action
Cloud,Damn...!,narration
Tifa,Coward!,narration
Cid,So this is how a loser lives...!,narration
Barret,Damn dirty-playin' $#%@&T$*^%$ !,narration
Aeris,All right...,narration
RedXIII,Grrrrrgh...!,narration
CaitSith,You sure are vulgar!,narration
Vincent,......!,narration
Corneo,"Now, give me your women too!",narration
Corneo,"Ha, ha, ha, ha! I guess I'm the one laughing last!",narration
Reno,"No, that would be us.",narration
Corneo,Hee-haw. What...what's goin' on!? Who's there?,action
Corneo,...The Turks!,narration
Reno,You knew this was gonna happen ever since you leaked that secret. We're going to take care of you... personally.,action
Corneo,DAMMIT! Then they're all goin' with me!,action
Corneo,Ugh...!,narration
Reno,"Good timing, Rude.",action
Rude,...Let's get to work.,narration
Reno,"All right, Corneo. This'll be over quick, so listen up. Why do you think we went to all the trouble of teaming up with those guys to get you...? 1. Because we were ready to die 2. Because we were sure of victory 3. Because we were clueless",dialogue
Corneo,Two...Number two?,narration
Reno,All wrong.,narration
Corneo,"No...! Wait, sto......!",action
Corneo,Aaaaaaaaaa......p,narration
Reno,The correct answer was...,narration
Rude,...because it's our job.,narration
Elena,"Oh, thank you very much...! I never expected you'd to come help......",narration
Reno,"Elena, don't act so weak. You're a Turks!",narration
Elena,"Y...Yes, sir!",narration
Tifa,Th...Thanks.,narration
Aeris,Thanks for your help.,narration
Barret,Never thought you'd come an' help us...,narration
CaitSith,You guys have some good in you.,action
RedXIII,I'll just say you...helped.,dialogue
Cid,"I guess, thanks for today.",narration
Vincent,It would appear thanks are in order...,narration
Rude,......,narration
Reno,Yes...this is Reno. Yes...Yes... I'll get on it right away.,narration
Elena,Was that the company?,narration
Reno,"Yeah, they want us to find Cloud...",narration
Rude,Are we on...?,narration
Reno,"No, today we're off duty.",narration
Yuffie,Hey---who cares about that!? Get----me-----down----!,narration
Yuffie,"Phew, perfect. Now the materia is back in its rightful place.",narration
Cloud,Hey...the placement of it is all messed up.,narration
Tifa,"Hey, what is this...? The placement of it's all messed up!",dialogue
Cid,What the hell's goin' on!? The placement of the materia's all messed up!,action
Yuffie,"Huh? Oh, it'll be all right... Don't be so picky!",narration
Yuffie,"Anyways, that sure was close...... No, normally I would kick their butts, Boom, Bang!! That Corneo guy's a real pain. I'd rather deal with my dad than deal with that guy.",narration
Yuffie,"Oh, by the way, some of those guys from the Turks are good, huh? At least, after all that, we got the materia back. Now come on everybody, let's continue our journey...",action
Yuffie,......Hey!! W......Wait!,action
Yuffie,"Oh, all right. Here, I'll give this to you guys.",narration
Yuffie,"Here, look, look!",narration
On-screen,"Received ""MP Absorb"" Materia!",system
Yuffie,.........,narration
Yuffie,"...No, forget it. Besides, they have lots of materia anyway.",narration
Yuffie,"Come on, wait---! No matter what anyone says, I'm going with you!",action
Yuffie,...next time......,narration
Gorky,Freeze!,narration
Gorky,"You aren't from Wutai, are you?",narration
Gorky,Only those from Wutai are allowed in the tower! I'll have to ask for you to leave!,dialogue
Gorky,Hey! I hate people who lie about their identities! Leave this tower at once!,narration
Gorky,Miss Yuffie! You cannot go on to the second floor unless you defeat me!,action
Gorky,...,narration
Gorky,"Oh, Miss Yuffie! Will you be climbing the pagoda today?",action
Gorky,"Then I, Sacred Gorky, will be your opponent on the first floor!",action
Shake,Yo! They call me Shake! I'll be watchin' your fight with Gorky!,action
Gorky,"Then, begin!",narration
Gorky,Power Change!,narration
Gorky,"Here I am, Miss Yuffie!",narration
Yuffie,Of course!,narration
Shake,"Hmm, I thought you were just a wild girl, but you handled that pretty well! Well, we'll see how you do on next one...",narration
Gorky,"It's just my opinion, but you need more training! Gorky is disappointed!",action
Shake,No good! You have to do Gorky! Are you mocking this Pagoda?,action
Yuffie,Shut up! Shut up! SHADDUP!,narration
Gorky,Winning Miss Yuffie's heart must mean you have tremendous skill.,narration
Gorky,"Here I am, Miss Yuffie!",narration
Shake,"Hey, you there! Don't ignore me!",narration
Shake,You aren't good enough to be here! This is the Wutai Temple of Martial Arts!,action
Yuffie,Who's next?,narration
Shake,Are you blind? I'm right here!,narration
Yuffie,What? I gotta fight a punk?,action
Shake,Heh! Punk. I'm more of an adult than some bimbo girl!,narration
Yuffie,"Wh, what did you say!?",dialogue
Shake,See what I mean? That kind of anger's what makes you so immature! Don't pat yourself on the back until you beat me!,dialogue
Yuffie,Now watch...!,narration
Shake,bout the only thing you do really good is breathe! Sure you're brave enough to fight?,action
Chekhov,"Hm, so someone finally got past Gorky. So, I guess it's time for Chekhov to stand in...",action
Shake,"Here I go, brat! Speed Change!",action
Shake,URRGRAAAAGH! So you CAN fight a bit!,narration
Yuffie,Of course!,narration
Chekhov,"Ho, ho, ho... It's been a while since I felt pain...",narration
Shake,HYAAAAAAH! BRATBRATBRATBRAT!!,narration
Chekhov,You can't go to the next floor unless you beat Shake.,action
Yuffie,Shut up! Shut up! SHADDUP!,narration
Shake,"So when it comes down to it, you're just all talk. Brat!",narration
Shake,"Compared to me, all of you are nothin' but a buncha babies.",narration
Shake,URRGRAAAAGH! So you CAN fight a bit!,narration
Chekhov,"How dare they mock us like that, thinking they could sneak past us.",narration
Chekhov,"That being the case, we have nothing further to discuss.",narration
Staniv,"So even Shake's been defeated. It's been a while since you had to fight, Chekhov.",narration
Chekhov,"Unfortunately, this is as far as it goes. Staniv, you watch over there.",action
Yuffie,That ain't going to happen! I'll teach you about the strength of youth!,action
Chekhov,"Keep mouthing off like that, little girl, and you're going to get burned.",action
Chekhov,"Ho, ho, ho. We'll see if you still talk like that after you taste some of my Sacred Magic...",narration
Chekhov,Magic Change!,narration
Chekhov,I can't believe you beat me...,narration
Yuffie,Of course!,narration
Staniv,This should be interesting...! It's been a long time since I've had a chance to use my powers to their fullest...,narration
Chekhov,"Ho, ho, ho! What does a immature young child know...?",dialogue
Staniv,So this IS the average person's limit...,narration
Yuffie,Shut up! Shut up! SHADDUP!,narration
Chekhov,"Ho, ho, ho. What do you expect from a child barely out of diapers!?",dialogue
Staniv,"First, Chekhov will keep you company...",narration
Chekhov,Managing that girl must be exceedingly rough on you.,narration
Chekhov,I can't believe you beat me...,narration
Staniv,HAAAAH!,narration
Staniv,"If it were not for Miss Yuffie, I wouldn't be facing him...",narration
Yuffie,Huh? Who's the one I'm supposed to beat?,narration
Staniv,"The rule is the best fighter on each floor will be your opponent... Although it's a five-storied pagoda, the fourth floor is the highest... In other words, no one has ever defeated me--Master of Weaponry! You still want to try...?",action
Staniv,I like you! Now watch...,narration
Staniv,Weapon Change!,narration
Staniv,"Wh, what...!?",dialogue
Yuffie,Of course!,narration
Gorky,Splendid! Your level and skills have improved...,narration
Shake,"Oh, ho! You might not be as much of a child as we thought you were!",narration
Chekhov,Of course. If WE lost to her...,narration
Staniv,"You have defeated four of our best, but now you will have to face HIM......!",narration
Staniv,How unfortunate! It was over before I could even put all of my strength into it...,narration
Yuffie,Shut up! Shut up! SHADDUP!,narration
Staniv,You don't seem like the kind of person who can make it to the fourth floor without a problem...,narration
Staniv,"I would like to fight you, however the Five Sacred Gods can only compete with those from Wutai...",action
Staniv,"Wh, what...!?",dialogue
Gorky,......,narration
Shake,Sh......!,narration
Chekhov,...,narration
Staniv,......,narration
Godo,...Hm. You can do it......,narration
Yuffie,"D,...Dad!?",narration
Godo,"I'm glad you made it this far, Yuffie!",narration
Yuffie,"Why, why are you......",dialogue
Godo,I'll answer you by having you try your skills against me! Hold nothing back. Come as if you're trying to kill me! If you don't...then I'll have to kill you!,narration
Yuffie,H...hey!,narration
Godo,What are you doing! OMNI-Change!.......!!,dialogue
Yuffie,"I'll show you this time, you old Fart-meister!",narration
Godo,Hmm? A slight improvement.,narration
Godo,Come at me with all you have! OMNI-Change!......!!,narration
Yuffie,Dammit......,narration
Godo,Ohhh! And what was that!? Come back when you get more training!,dialogue
Yuffie,...heave......heave...,narration
Godo,...huff......puff......,narration
Yuffie,O...old coot... n......ot...bad...,narration
Godo,You've......also......improved...,narration
Yuffie,"Hah...Ha, ha......",narration
Godo,"...Heh, heh......",narration
Yuffie,Ha ha haaaaaa......!,narration
Godo,Waha haaaaa......!,narration
Godo,"It's time I gave this to you, Yuffie... This is Leviathan Materia. Take it.",narration
On-screen,"Received ""Leviathan"" Materia!",system
Godo,"...I thought I'd give it to you, but you have no place to hold it. Then, come back for it later. And don't forget!",narration
Staniv,"But, Lord Godo. The Leviathan Materia should only be given to the person who conquers and takes over this Pagoda. That is our custom...",action
Yuffie,"CUSTOM, CUSTOM, CUSTOM... I'm so sick of hearing that! It's so stupid!",narration
Gorky,"Silence, Miss Yuffie!",narration
Yuffie,Then what 'bout all the rest of you? You have all that power... Are you satisfied being cooped up in this tower?,dialogue
Godo,Yuffie...!,narration
Yuffie,"You too, dad...! Just because you lost the war! And turning Wutai into a place like this!",narration
Chekhov,...What do you want to say?,dialogue
Yuffie,You turned Wutai into a cheesy resort town peddling to tourists... How dare you!? Da-chao Statue and Leviathan are ashamed!!,narration
Godo,...,narration
Shake,She IS a kid.,narration
Yuffie,"Wh, what did you say...!?",dialogue
Godo,Yuffie!!,narration
Godo,Forgive me... It's all my fault...,narration
Gorky,"What are you saying, Lord Godo!",action
Godo,Losing the war...turning Wutai into this. It was all my fault...,narration
Chekhov,Lord Godo!,action
Godo,Silence!!,narration
Godo,"Yuffie...... I am the same now as I was before when I wanted the war. But, after I lost the war, I began to think... Is strength, only for defeating the enemy? ...or just something to show-off to others...? Might begets might. That's the same way as the Shinra...",narration
Yuffie,......,narration
Godo,"I knew you were looking for Materia for the good of Wutai. But, the reason I hide my strength now, is also for the good of Wutai... And now, I realize both are necessary... Strength without determination means nothing. And determination without strength is equally useless...!",action
Staniv,Lord Godo...,action
Godo,"You there, please take Yuffie with you! I perceive that you all have both determination and strength!",narration
Cid,"Well, just tell yourself you're on a big ship, and leave the rest to ol' Cid!",dialogue
CaitSith,"If you put it that way, we can't refuse...",narration
RedXIII,As long as she doesn't get in our way...!,narration
Aeris,All right. We'll take your daughter with us.,narration
Tifa,"...after that, how can we refuse?",narration
Vincent,Hmm... You may come if you want to ...,narration
Barret,Jes' don't do nothin' funny to our Materia...!,narration
Cloud,"All right, I don't mind.",narration
Godo,"Go, Yuffie! For the sake of strengthening Wutai!",action
Yuffie,Dad...,narration
Godo,I'll take care of the Five Sacred Gods until you return! Go! And come back alive!,action
Yuffie,......,narration
Yuffie,Of course!,narration
Godo,"Yuffie, wait a minute. The Materia they all have... After their battle is over, you think they'll still want it?",action
Yuffie,Dad...!,narration
Godo,Go! Survive till the end! And return! With the Materia!,action
Yuffie,"Heh, heh...you bet!",narration
Clerk,"He, HEY! Waitaminit you!! You can't just walk outta here without buyin' somethin'... Might be unhealthy fer ya, if ya know what I mean.",action
NPC,You dried up old geez. You tired? Why don't you rest up on the third floor of my house? There's just one condition. You gotta give me some cash.,action
NPC,"Damn, man!! Just forget about it!",narration
NPC,"Oh man, oh man...... Go ahead 'n' help yourself to the room.",action
NPC,"Geez, dude, you're really old. You sure you ain't poorer than me?",narration
NPC,Cheap %#*^...,narration
NPC,"Use whatever bed you want. Sleep tight, old guy.",dialogue
 NPC,"This is a slum, so don't think you can stay for free. What are you going to do? Doesn't just seeing the bed make you sleepy?",action
NPC,"Sweet dreams, pops.",narration
NPC,"Rough times, huh pop? Not a dime on you?",narration
NPC,"Tough guy, huh!? You'd better sleep when you can. You'd better save when you can. That's the trick to being tough. Remember that, old dude.",narration
Cloud,hoo...,narration
Conductor,"When you've been a train man as long as I have, you see a lot of people and a lot of lives. People meeting, parting, joy, sadness... After a while, it doesn't even get to you anymore.",narration
Conductor,I wonder how long it's been... There's an invisible rail between me and the passengers. I could never live their lives. I'm just a train man plain and simple. It's easier that way.,narration
Conductor,"That's not to say that the crossing gate of my heart doesn't hurt now and again. Back during the war, I remember there was a lot of painful scenes then. But, that's a story for another day...",dialogue
Conductor,First train leaves Midgar at 0504am.,narration
NPC,"Hey now!! Oops!! What on earth are you doing? Just butt out......geez! Huh? You come to see it, too? There was a bombing on top. If this pillar should come down, everyone in the slums is dust... Well, there's no point in worryin' about that. Hey!! Look! It's huge, ain't it? Hey... This is a strange and wonderful place. This is my place, but you can come here when you want. Bye, bro!",dialogue
Barret,"Yo, Cloud! Over here, now!",narration
Guard 1,Ah...eh...uhm............ Excuse me. You cannot pass without the proper clearance. Did I do good this time?,action
Guard 2,You gotta be tougher!,action
Guard 1,"But, uh, I......",narration
Guard 2,What the hell do you want? You know who I am? You can't pass. I got the miserable job of keepin' scum like you from trying to sneak in here.,action
Guard 1,"W, wow! You're great!!",narration
Guard 2,"Damn right!! Don't waste time talkin's, what I always say!",dialogue
Guard 1,"But, uh, I......",narration
NPC,"Hey!! What the, YOU? Anyone talking to me must be a novice.",dialogue
Cloud,So what. Everyone's a beginner sometime.,dialogue
NPC,"Don't act so big, amateur. Seein' as how I'm such a warm hearted guy, I'll show ya the ropes. You come back here tomorrow. I got some things I gots ta do.",action
Cloud,"The name's Cloud. Used to be with SOLDIER, I got no business with you.",action
NPC,"Hmmph!! Well, I never heard of ya!",narration
NPC,"Unn...... !! Who the hell are you!? No unauthorized access. Since today's special, I'm gonna let you in on a juicy bit of news. But you gotta keep it to yourself. Do you know about what's been going on......?",action
NPC,"I guess you must be sick of hearing it... But it's been so long since there was any real news here. You're worried where it's all heading, right?",narration
NPC,"Everything's in a buzz 'bout that terrorist group AVALANCHE blowin' up the Sector 1 Mako Reactor. On the surface they say they're an anti-Shinra group, but in reality... They say they're just out to kill as many people as they can. Gyaaaa, Haaa haaa!! That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores! Now, if we can just get rid of this back stock, we'll be doin' ok.",action
NPC,"You know what I do? I'll bet you don't. You come here tomorrow and I'll tell you. Ahh, there just ain't no good jobs here in the slums. I wanna go to the upper world.",action
NPCs,I'm not letting you go tonight. Wow!,action
NPCs,Isn't there somewhere we could go to be alone? Wow! There's only the train graveyard around here. And they say there's ghosts around too! .......damn. What?,action
NPC,I'm not opening up. Go away!!,action
Clerk,We're closed today. Come back tomorrow.,narration
Cloud,What crappy handwriting. And look at all this graffiti!,dialogue
Sign,Don't be taken in by the Shinra. Mako energy will not last forever. Mako is the life of the Planet and that life is finite. The end is coming. Saviors of the Planet AVALANCHE,narration
Johnny,"Woo......ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.",narration
NPC,"Oh Jesus!! What the hell's wrong tonight!! I thought that long blackout was strange. They say a Mako Reactor was destroyed above. I was jes sittin' here drinkin', watchin' the news by myself. 'n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?",dialogue
NPC,I wasn't even done with my drink. I didn't even pay my bill...,narration
NPC,Explosions! Explosions! Oh Man! AVALANCHE is so cool!,narration
NPC,Did you hear?,narration
NPC,"There's a news update. They say that there was a terrorist explosion up above, and that this time it was a Mako Reactor!! You know what this means?",dialogue
NPC,"Ya see, I keep on top of these things, an' if ya ask me...... If you knock out Midgar's power, then all of its computers and signals are going to be knocked out too. Financially there must've been about a billion gil worth of damage. An' that ain't all!! A lotta innocent people got killed too! If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.",action
NPC,"Oh, well excuse ME!",narration
NPC,"Oh, well excuse ME!",narration
NPC,This Mako explosion has really sent Midgar into a fit.,narration
NPC,"Hey, come over here. But people will... Who cares? But... There's a weirdo over there. Huh? Say, you're pretty gutsy. Why don't you go snoop somewhere else, Romeo?",action
Johnny,Hey!! Open up! C'mon baby!! It's me! Johnny! Mom!!,action
NPC,"There's a TV in there, but my cheap aunt won't let me in the house. Look for yourself.",narration
NPC,"Now that you mention it, there used to be an outside TV monitor here in the slums. But that Barret, busted it up. Shot it up with that weird machine gun hand of his. Blam, blam, blam. I think it was when President Shinra was on. He was on again this morning, too, you know. Tifa better watch out for her TV.",narration
NPC,"All's quiet!! Shh, I'm spying now! OH!! There's something!! DANGER!! ALERT!!",narration
NPC,Did you hear?,narration
NPC,"About that little girl named Tifa and that bar called '7th Heaven'. I'm not only informed, I'm kinda nosey too. Anyhow, I got the scoop. You wanna hear?",action
NPC,"That Barret and three of his henchmen are like this sometimes. Suddenly, they threw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder. It's dangerous, I tell you. They must be doing terrible things in there.",dialogue
NPC,"Oh really? Well, aren't you a cool one!",narration
NPC,"Oh really? Well, aren't you a cool one!",narration
NPC,"Heh heh...He'll forget about it. OH, you!! Get my friend on the second floor to teach ya.",narration
On-screen,How to use the buttons.,system
Cloud,Huh? Finger!? What the hell?,dialogue
On-screen,I'm the position cursor!! Call me whenever you're walking around confused! Push the  button and I'll appear over your shiny little head.,system
Cloud,"Geez, you stand out even more than I do...",narration
On-screen,"Am I in the way? If so, just push the  button one more time. I'm pretty busy myself, and can't always come when you need me. If I don't show up sometimes, don't get mad. Later!  Push the  button when you're lost in the field. Usually, the  will appear on the screen. But wait!!  mark the exits and  mark ladders. These will help you safely make it through even the darkest streets or dangerous mountains! But, there are times when it won't appear, so be careful.",system
